"TIME","GEO","DAIRYPROD","MILKITEM","Value","Flag and Footnotes"
"2009","Sweden","Manufactured products","Products obtained (1 000 t)","1 327.78",""
"2009","Sweden","Manufactured products","Fat content (t)","80 857.80",""
"2009","Sweden","Manufactured products","Protein content (t)",":",""
"2009","Sweden","Manufactured products","Utilization of skimmed milk and buttermilk (1 000 t)","-119.75",""
"2009","Sweden","Manufactured products","Utilization of whole milk (1 000 t)","6 079.11",""
"2009","United Kingdom","Fresh products","Products obtained (1 000 t)","7 596.30",""
"2009","United Kingdom","Fresh products","Fat content (t)","269 309.00",""
"2009","United Kingdom","Fresh products","Protein content (t)",":",""
"2009","United Kingdom","Fresh products","Utilization of skimmed milk and buttermilk (1 000 t)","900.00",""
"2009","United Kingdom","Fresh products","Utilization of whole milk (1 000 t)","6 704.70",""
"2009","United Kingdom","Manufactured products","Products obtained (1 000 t)",":","c"
"2009","United Kingdom","Manufactured products","Fat content (t)","250 180.00",""
"2009","United Kingdom","Manufactured products","Protein content (t)",":",""
"2009","United Kingdom","Manufactured products","Utilization of skimmed milk and buttermilk (1 000 t)","-1 325.80",""
"2009","United Kingdom","Manufactured products","Utilization of whole milk (1 000 t)","6 286.60",""
"2009","Iceland","Fresh products","Products obtained (1 000 t)",":",""
"2009","Iceland","Fresh products","Fat content (t)",":",""
"2009","Iceland","Fresh products","Protein content (t)",":",""
"2009","Iceland","Fresh products","Utilization of skimmed milk and buttermilk (1 000 t)",":",""
"2009","Iceland","Fresh products","Utilization of whole milk (1 000 t)",":",""
"2009","Iceland","Manufactured products","Products obtained (1 000 t)",":",""
"2009","Iceland","Manufactured products","Fat content (t)",":",""
"2009","Iceland","Manufactured products","Protein content (t)",":",""
"2009","Iceland","Manufactured products","Utilization of skimmed milk and buttermilk (1 000 t)",":",""
"2009","Iceland","Manufactured products","Utilization of whole milk (1 000 t)",":",""
"2009","Norway","Fresh products","Products obtained (1 000 t)",":",""
"2009","Norway","Fresh products","Fat content (t)",":",""
"2009","Norway","Fresh products","Protein content (t)",":",""
"2009","Norway","Fresh products","Utilization of skimmed milk and buttermilk (1 000 t)",":",""
"2009","Norway","Fresh products","Utilization of whole milk (1 000 t)",":",""
"2009","Norway","Manufactured products","Products obtained (1 000 t)",":",""
"2009","Norway","Manufactured products","Fat content (t)",":",""
"2009","Norway","Manufactured products","Protein content (t)",":",""
"2009","Norway","Manufactured products","Utilization of skimmed milk and buttermilk (1 000 t)",":",""
"2009","Norway","Manufactured products","Utilization of whole milk (1 000 t)",":",""
"2009","Switzerland","Fresh products","Products obtained (1 000 t)",":",""
"2009","Switzerland","Fresh products","Fat content (t)",":",""
"2009","Switzerland","Fresh products","Protein content (t)",":",""
"2009","Switzerland","Fresh products","Utilization of skimmed milk and buttermilk (1 000 t)",":",""
"2009","Switzerland","Fresh products","Utilization of whole milk (1 000 t)",":",""
"2009","Switzerland","Manufactured products","Products obtained (1 000 t)",":",""
"2009","Switzerland","Manufactured products","Fat content (t)",":",""
"2009","Switzerland","Manufactured products","Protein content (t)",":",""
"2009","Switzerland","Manufactured products","Utilization of skimmed milk and buttermilk (1 000 t)",":",""
"2009","Switzerland","Manufactured products","Utilization of whole milk (1 000 t)",":",""
"2009","Montenegro","Fresh products","Products obtained (1 000 t)",":",""
"2009","Montenegro","Fresh products","Fat content (t)",":",""
"2009","Montenegro","Fresh products","Protein content (t)",":",""
"2009","Montenegro","Fresh products","Utilization of skimmed milk and buttermilk (1 000 t)",":",""
"2009","Montenegro","Fresh products","Utilization of whole milk (1 000 t)",":",""
"2009","Montenegro","Manufactured products","Products obtained (1 000 t)",":",""
"2009","Montenegro","Manufactured products","Fat content (t)",":",""
"2009","Montenegro","Manufactured products","Protein content (t)",":",""
"2009","Montenegro","Manufactured products","Utilization of skimmed milk and buttermilk (1 000 t)",":",""
"2009","Montenegro","Manufactured products","Utilization of whole milk (1 000 t)",":",""
"2009","North Macedonia","Fresh products","Products obtained (1 000 t)",":",""
"2009","North Macedonia","Fresh products","Fat content (t)",":",""
"2009","North Macedonia","Fresh products","Protein content (t)",":",""
"2009","North Macedonia","Fresh products","Utilization of skimmed milk and buttermilk (1 000 t)",":",""
"2009","North Macedonia","Fresh products","Utilization of whole milk (1 000 t)",":",""
"2009","North Macedonia","Manufactured products","Products obtained (1 000 t)",":",""
"2009","North Macedonia","Manufactured products","Fat content (t)",":",""
"2009","North Macedonia","Manufactured products","Protein content (t)",":",""
"2009","North Macedonia","Manufactured products","Utilization of skimmed milk and buttermilk (1 000 t)",":",""
"2009","North Macedonia","Manufactured products","Utilization of whole milk (1 000 t)",":",""
"2009","Albania","Fresh products","Products obtained (1 000 t)",":",""
"2009","Albania","Fresh products","Fat content (t)",":",""
"2009","Albania","Fresh products","Protein content (t)",":",""
"2009","Albania","Fresh products","Utilization of skimmed milk and buttermilk (1 000 t)",":",""
"2009","Albania","Fresh products","Utilization of whole milk (1 000 t)",":",""
"2009","Albania","Manufactured products","Products obtained (1 000 t)",":",""
"2009","Albania","Manufactured products","Fat content (t)",":",""
"2009","Albania","Manufactured products","Protein content (t)",":",""
"2009","Albania","Manufactured products","Utilization of skimmed milk and buttermilk (1 000 t)",":",""
"2009","Albania","Manufactured products","Utilization of whole milk (1 000 t)",":",""
"2009","Serbia","Fresh products","Products obtained (1 000 t)",":",""
"2009","Serbia","Fresh products","Fat content (t)",":",""
"2009","Serbia","Fresh products","Protein content (t)",":",""
"2009","Serbia","Fresh products","Utilization of skimmed milk and buttermilk (1 000 t)",":",""
"2009","Serbia","Fresh products","Utilization of whole milk (1 000 t)",":",""
"2009","Serbia","Manufactured products","Products obtained (1 000 t)",":",""
"2009","Serbia","Manufactured products","Fat content (t)",":",""
"2009","Serbia","Manufactured products","Protein content (t)",":",""
"2009","Serbia","Manufactured products","Utilization of skimmed milk and buttermilk (1 000 t)",":",""
"2009","Serbia","Manufactured products","Utilization of whole milk (1 000 t)",":",""
"2009","Turkey","Fresh products","Products obtained (1 000 t)",":",""
"2009","Turkey","Fresh products","Fat content (t)",":",""
"2009","Turkey","Fresh products","Protein content (t)",":",""
"2009","Turkey","Fresh products","Utilization of skimmed milk and buttermilk (1 000 t)",":",""
"2009","Turkey","Fresh products","Utilization of whole milk (1 000 t)",":",""
"2009","Turkey","Manufactured products","Products obtained (1 000 t)",":",""
"2009","Turkey","Manufactured products","Fat content (t)",":",""
"2009","Turkey","Manufactured products","Protein content (t)",":",""
"2009","Turkey","Manufactured products","Utilization of skimmed milk and buttermilk (1 000 t)",":",""
