TIME,GEO,All-purposes household cleaner (1 l),Cleaner for WC (1 l),Cleaning liquid for windows (1 l),"Detergent for washing machine, powder, 70-90 g/wash (1 kg) ","Detergent for washing machine, powder, > 90 g/wash (1 kg) "
2012,Turkey,1.44,2.181145584725537,2.789570405727924,2.10,2.215584725536993
2012,Bosnia and Herzegovina,1.4882100238663487,2.0791169451073985,2.6590811455847256,3.4797852028639626,2.1119451073985682
2012,Kosovo (under United Nations Security Council Resolution 1244/99),1.62291169451074,2.2673031026252985,2.8997613365155135,3.7947494033412887,2.3031026252983295
2013,European Union - 27 countries (from 2020),1.5747368421052634,2.1999999999999997,2.8136842105263162,3.6821052631578945,2.234736842105263
2013,European Union - 28 countries (2013-2020),1.590643274853801,2.2222222222222223,2.842105263157895,3.719298245614035,2.257309941520468
2013,European Union - 15 countries (1995-2004),1.625637426900585,2.2711111111111113,2.904631578947369,3.8011228070175442,2.3069707602339182
2013,Euro area - 19 countries  (from 2015),1.6017777777777782,2.2377777777777776,2.862,3.7453333333333334,2.273111111111111
2013,Euro area - 12 countries (2001-2006),1.6033684210526316,2.2399999999999998,2.864842105263158,3.749052631578947,2.2753684210526313
2013,Belgium,1.7115321637426901,2.391111111111111,3.058105263157895,4.001964912280702,2.428865497076023
2013,Bulgaria,1.36,1.90,2.43,3.18,1.93
2013,Czechia,2.23,2.27,3.35,2.45,2.0518947368421054
2013,Denmark,1.8324210526315792,2.56,3.274105263157895,4.284631578947368,2.600421052631579
2013,Germany (until 1990 former territory of the FRG),1.5492865497076027,2.1644444444444444,2.7682105263157895,3.6225964912280704,2.198619883040936
2013,Estonia,1.5079298245614035,2.1066666666666665,2.694315789473684,3.525894736842105,2.1399298245614036
2013,Ireland,1.5158830409356725,2.1177777777777775,2.7085263157894737,3.544491228070176,2.151216374269006
2013,Greece,1.4665730994152049,2.048888888888889,2.620421052631579,3.4291929824561405,2.0812397660818713
2013,Spain,1.6208654970760237,2.2644444444444445,2.896105263157895,3.789964912280702,2.300198830409357
2013,France,1.6685847953216375,2.3311111111111114,2.981368421052632,3.901543859649123,2.3679181286549706
2013,Croatia,2.72,2.60,2.70,3.16,2.1941052631578946
2013,Italy,2.20,2.58,2.952947368421053,3.864350877192983,2.58
2013,Cyprus,2.03,2.04,2.96,3.03,2.6749122807017542
2013,Latvia,1.5015672514619884,2.097777777777778,2.6829473684210527,3.511017543859649,2.1309005847953215
2013,Lithuania,2.06,2.58,3.33,3.79,2.1309005847953215
2013,Luxembourg,1.514292397660819,2.1155555555555554,2.705684210526316,3.540771929824562,2.148959064327485
2013,Hungary,1.2184327485380118,1.702222222222222,2.1770526315789476,2.8489824561403507,1.7290994152046784
2013,Malta,3.72,3.33,3.34,3.40,2.93
2013,Netherlands,1.28,2.03,2.64,2.76,2.2482807017543855
2013,Austria,1.514292397660819,2.1155555555555554,2.705684210526316,3.540771929824562,2.148959064327485
2013,Poland,1.2900116959064327,2.69,3.15,3.016350877192982,2.44
2013,Portugal,1.4538479532163744,2.031111111111111,2.597684210526316,3.3994385964912284,2.0631812865497077
2013,Romania,1.2741052631578949,2.32,2.77,3.06,2.10
2013,Slovenia,1.76,2.23,2.40,3.775087719298246,2.52
2013,Slovakia,2.51,2.52,3.97,3.01,2.0744678362573103
2013,Finland,2.70,2.4399999999999995,3.1206315789473686,4.08378947368421,2.4785263157894737
2013,Sweden,1.8992280701754387,2.6533333333333333,3.393473684210527,4.440842105263159,2.6952280701754385
2013,United Kingdom,1.6988070175438599,2.373333333333333,3.0353684210526315,3.9722105263157896,2.4108070175438594
2013,Iceland,2.4273216374269007,3.391111111111111,4.337052631578947,5.675649122807018,3.4446549707602334
2013,Norway,2.71,4.47,4.98,4.511508771929825,1.12
2013,Switzerland,1.7847017543859651,2.4933333333333336,3.188842105263158,4.173052631578948,2.5327017543859647
2013,Montenegro,1.3949941520467837,1.948888888888889,2.492526315789474,3.261824561403509,1.9796608187134503
2013,North Macedonia,1.2263859649122806,1.7133333333333332,2.191263157894737,2.867578947368421,1.7403859649122806
2013,Albania,1.6033684210526316,2.2399999999999998,2.864842105263158,3.749052631578947,2.2753684210526313
2013,Serbia,1.4474853801169592,2.022222222222222,2.5863157894736846,3.384561403508772,2.0541520467836256
2013,Turkey,1.44,2.0177777777777774,2.5806315789473686,2.10,2.049637426900585
2013,Bosnia and Herzegovina,1.4665730994152049,2.048888888888889,2.620421052631579,3.4291929824561405,2.0812397660818713
2013,Kosovo (under United Nations Security Council Resolution 1244/99),1.3981754385964913,1.9533333333333331,2.49821052631579,3.2692631578947373,1.9841754385964911
2014,European Union - 27 countries (from 2020),1.6057831325301204,2.2433734939759034,2.869156626506024,3.7546987951807234,2.2787951807228914
2014,European Union - 28 countries (2013-2020),1.6385542168674698,2.289156626506024,2.9277108433734944,3.8313253012048194,2.325301204819277
2014,European Union - 15 countries (1995-2004),1.6778795180722892,2.344096385542169,2.997975903614458,3.923277108433736,2.3811084337349397
2014,Euro area - 19 countries  (from 2015),1.6369156626506025,2.286867469879518,2.924783132530121,3.827493975903615,2.322975903614458
2014,Euro area - 12 countries (2001-2006),1.6385542168674698,2.289156626506024,2.9277108433734944,3.8313253012048194,2.325301204819277
2014,Belgium,1.7712771084337349,2.4745783132530117,3.164855421686747,4.1416626506024095,2.5136506024096383
2014,Bulgaria,1.36,1.90,2.43,3.18,1.93
2014,Czechia,2.23,2.27,3.35,2.45,1.9532530120481928
2014,Denmark,1.8695903614457834,2.6119277108433736,3.3405180722891563,4.371542168674699,2.653168674698795
2014,Germany (until 1990 former territory of the FRG),1.5795662650602411,2.2067469879518073,2.8223132530120485,3.693397590361446,2.241590361445783
2014,Estonia,1.551710843373494,2.1678313253012047,2.7725421686746987,3.628265060240964,2.2020602409638554
2014,Ireland,1.551710843373494,2.1678313253012047,2.7725421686746987,3.628265060240964,2.2020602409638554
2014,Greece,1.4763373493975904,2.0625301204819273,2.6378674698795184,3.452024096385542,2.0950963855421683
2014,Spain,1.6270843373493975,2.2731325301204817,2.9072168674698795,3.8045060240963857,2.309024096385542
2014,France,1.690987951807229,2.3624096385542166,3.021397590361446,3.953927710843374,2.399710843373494
2014,Croatia,2.72,2.60,2.70,3.16,2.25089156626506
2014,Italy,2.20,2.58,3.0623855421686748,4.007566265060241,2.58
2014,Cyprus,2.03,2.04,2.96,3.03,2.5392289156626506
2014,Latvia,1.5287710843373494,2.13578313253012,2.73155421686747,3.5746265060240967,2.1695060240963855
2014,Lithuania,2.06,2.58,3.33,3.79,2.176481927710843
2014,Luxembourg,1.5549879518072292,2.172409638554217,2.778397590361446,3.635927710843374,2.2067108433734943
2014,Hungary,1.23055421686747,1.7191566265060236,2.198710843373494,2.877325301204819,1.746301204819277
2014,Malta,3.72,3.33,3.34,3.40,2.93
