"TIME","GEO","NA_ITEM","PPP_CAT","Value","Flag and Footnotes"
"2013","Euro area - 17 countries (2011-2013)","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","100.4",""
"2013","Euro area - 16 countries (2009-2010)","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","100.4",""
"2013","Euro area - 15 countries (2008)","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","100.6",""
"2013","Euro area - 13 countries (2007)","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","100.6",""
"2013","Euro area - 12 countries (2001-2006)","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","100.7",""
"2013","Euro area - 11 countries (1999-2000)","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","100.7",""
"2013","Belgium","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","110.9",""
"2013","Bulgaria","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","53.0",""
"2013","Czechia","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","73.8",""
"2013","Denmark","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","107.2",""
"2013","Germany (until 1990 former territory of the FRG)","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","94.2",""
"2013","Estonia","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","89.1",""
"2013","Ireland","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","106.7",""
"2013","Greece","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","104.1",""
"2013","Spain","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","104.8",""
"2013","France","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","94.9",""
"2013","Croatia","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","78.5",""
"2013","Italy","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","112.9",""
"2013","Cyprus","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","105.3",""
"2013","Latvia","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","83.7",""
"2013","Lithuania","Price level indices (EU28=100)","Furniture and furnishings, carpets and other floor coverings","74.7",""
