"TIME","GEO","CROPS","STRUCPRO","Value","Flag and Footnotes"
"2015","European Union - 28 countries (2013-2020)","Cereals for the production of grain (including seed)","Harvested production in EU standard humidity (1000 t)","316 628.57",""
"2015","Belgium","Cereals for the production of grain (including seed)","Harvested production in EU standard humidity (1000 t)","3 133.68",""
"2015","Bulgaria","Cereals for the production of grain (including seed)","Harvested production in EU standard humidity (1000 t)","8 728.97",""
"2015","Czechia","Cereals for the production of grain (including seed)","Harvested production in EU standard humidity (1000 t)","8 183.51",""
"2015","Denmark","Cereals for the production of grain (including seed)","Harvested production in EU standard humidity (1000 t)","9 907.84",""
"2015","Germany (until 1990 former territory of the FRG)","Cereals for the production of grain (including seed)","Harvested production in EU standard humidity (1000 t)","48 917.70",""
"2015","Estonia","Cereals for the production of grain (including seed)","Harvested production in EU standard humidity (1000 t)","1 535.30",""
"2015","Ireland","Cereals for the production of grain (including seed)","Harvested production in EU standard humidity (1000 t)","2 497.93",""
"2015","Greece","Cereals for the production of grain (including seed)","Harvested production in EU standard humidity (1000 t)","3 588.78",""
"2015","Spain","Cereals for the production of grain (including seed)","Harvested production in EU standard humidity (1000 t)","20 783.82",""
"2015","France","Cereals for the production of grain (including seed)","Harvested production in EU standard humidity (1000 t)","71 788.59",""
"2015","Croatia","Cereals for the production of grain (including seed)","Harvested production in EU standard humidity (1000 t)","2 773.95",""
"2015","Italy","Cereals for the production of grain (including seed)","Harvested production in EU standard humidity (1000 t)","17 865.38",""
"2015","Cyprus","Cereals for the production of grain (including seed)","Harvested production in EU standard humidity (1000 t)","88.13",""
"2015","Latvia","Cereals for the production of grain (including seed)","Harvested production in EU standard humidity (1000 t)","3 021.50",""
"2015","Lithuania","Cereals for the production of grain (including seed)","Harvested production in EU standard humidity (1000 t)","6 085.05",""
"2015","Luxembourg","Cereals for the production of grain (including seed)","Harvested production in EU standard humidity (1000 t)","178.57",""
"2015","Hungary","Cereals for the production of grain (including seed)","Harvested production in EU standard humidity (1000 t)","14 107.34",""
"2015","Malta","Cereals for the production of grain (including seed)","Harvested production in EU standard humidity (1000 t)","0.00",""
"2015","Netherlands","Cereals for the production of grain (including seed)","Harvested production in EU standard humidity (1000 t)","1 629.08",""
"2015","Austria","Cereals for the production of grain (including seed)","Harvested production in EU standard humidity (1000 t)","4 826.90",""
"2015","Poland","Cereals for the production of grain (including seed)","Harvested production in EU standard humidity (1000 t)","27 481.72",""
"2015","Portugal","Cereals for the production of grain (including seed)","Harvested production in EU standard humidity (1000 t)","1 252.36",""
"2015","Romania","Cereals for the production of grain (including seed)","Harvested production in EU standard humidity (1000 t)","19 332.82",""
"2015","Slovenia","Cereals for the production of grain (including seed)","Harvested production in EU standard humidity (1000 t)","624.05",""
"2015","Slovakia","Cereals for the production of grain (including seed)","Harvested production in EU standard humidity (1000 t)","3 805.71",""
"2015","Finland","Cereals for the production of grain (including seed)","Harvested production in EU standard humidity (1000 t)","3 729.91",""
"2015","Sweden","Cereals for the production of grain (including seed)","Harvested production in EU standard humidity (1000 t)","6 168.80",""
"2015","United Kingdom","Cereals for the production of grain (including seed)","Harvested production in EU standard humidity (1000 t)","24 591.19",""
"2015","Iceland","Cereals for the production of grain (including seed)","Harvested production in EU standard humidity (1000 t)",":",""
"2015","Norway","Cereals for the production of grain (including seed)","Harvested production in EU standard humidity (1000 t)","1 342.11",""
"2015","Switzerland","Cereals for the production of grain (including seed)","Harvested production in EU standard humidity (1000 t)","901.75",""
"2015","Montenegro","Cereals for the production of grain (including seed)","Harvested production in EU standard humidity (1000 t)","7.09",""
"2015","North Macedonia","Cereals for the production of grain (including seed)","Harvested production in EU standard humidity (1000 t)","483.81",""
"2015","Albania","Cereals for the production of grain (including seed)","Harvested production in EU standard humidity (1000 t)","695.50",""
"2015","Serbia","Cereals for the production of grain (including seed)","Harvested production in EU standard humidity (1000 t)","8 436.97",""
"2015","Turkey","Cereals for the production of grain (including seed)","Harvested production in EU standard humidity (1000 t)","38 637.00",""
"2015","Bosnia and Herzegovina","Cereals for the production of grain (including seed)","Harvested production in EU standard humidity (1000 t)","1 150.87","e"
"2015","Kosovo (under United Nations Security Council Resolution 1244/99)","Cereals for the production of grain (including seed)","Harvested production in EU standard humidity (1000 t)","443.60",""
"2016","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Cereals for the production of grain (including seed)","Harvested production in EU standard humidity (1000 t)","301 748.73",""
"2016","European Union - 27 countries (from 2020)","Cereals for the production of grain (including seed)","Harvested production in EU standard humidity (1000 t)","280 038.15",""
"2016","European Union - 28 countries (2013-2020)","Cereals for the production of grain (including seed)","Harvested production in EU standard humidity (1000 t)","301 748.73",""
"2016","Belgium","Cereals for the production of grain (including seed)","Harvested production in EU standard humidity (1000 t)","2 228.79",""
"2016","Bulgaria","Cereals for the production of grain (including seed)","Harvested production in EU standard humidity (1000 t)","8 945.12",""
"2016","Czechia","Cereals for the production of grain (including seed)","Harvested production in EU standard humidity (1000 t)","8 596.41",""
"2016","Denmark","Cereals for the production of grain (including seed)","Harvested production in EU standard humidity (1000 t)","9 024.03",""
"2016","Germany (until 1990 former territory of the FRG)","Cereals for the production of grain (including seed)","Harvested production in EU standard humidity (1000 t)","45 401.00",""
"2016","Estonia","Cereals for the production of grain (including seed)","Harvested production in EU standard humidity (1000 t)","934.10",""
"2016","Ireland","Cereals for the production of grain (including seed)","Harvested production in EU standard humidity (1000 t)","2 184.32",""
"2016","Greece","Cereals for the production of grain (including seed)","Harvested production in EU standard humidity (1000 t)","3 983.13",""
"2016","Spain","Cereals for the production of grain (including seed)","Harvested production in EU standard humidity (1000 t)","24 955.45",""
"2016","France","Cereals for the production of grain (including seed)","Harvested production in EU standard humidity (1000 t)","53 579.13",""
"2016","Croatia","Cereals for the production of grain (including seed)","Harvested production in EU standard humidity (1000 t)","3 472.83",""
"2016","Italy","Cereals for the production of grain (including seed)","Harvested production in EU standard humidity (1000 t)","18 363.10",""
"2016","Cyprus","Cereals for the production of grain (including seed)","Harvested production in EU standard humidity (1000 t)","10.42",""
"2016","Latvia","Cereals for the production of grain (including seed)","Harvested production in EU standard humidity (1000 t)","2 703.20",""
"2016","Lithuania","Cereals for the production of grain (including seed)","Harvested production in EU standard humidity (1000 t)","5 120.82",""
"2016","Luxembourg","Cereals for the production of grain (including seed)","Harvested production in EU standard humidity (1000 t)","139.43",""
"2016","Hungary","Cereals for the production of grain (including seed)","Harvested production in EU standard humidity (1000 t)","16 594.35",""
"2016","Malta","Cereals for the production of grain (including seed)","Harvested production in EU standard humidity (1000 t)","0.00",""
"2016","Netherlands","Cereals for the production of grain (including seed)","Harvested production in EU standard humidity (1000 t)","1 344.30",""
"2016","Austria","Cereals for the production of grain (including seed)","Harvested production in EU standard humidity (1000 t)","5 671.46",""
"2016","Poland","Cereals for the production of grain (including seed)","Harvested production in EU standard humidity (1000 t)","29 293.87",""
"2016","Portugal","Cereals for the production of grain (including seed)","Harvested production in EU standard humidity (1000 t)","1 152.27",""
"2016","Romania","Cereals for the production of grain (including seed)","Harvested production in EU standard humidity (1000 t)","21 764.82",""
"2016","Slovenia","Cereals for the production of grain (including seed)","Harvested production in EU standard humidity (1000 t)","638.06",""
"2016","Slovakia","Cereals for the production of grain (including seed)","Harvested production in EU standard humidity (1000 t)","4 847.85",""
"2016","Finland","Cereals for the production of grain (including seed)","Harvested production in EU standard humidity (1000 t)","3 609.38",""
"2016","Sweden","Cereals for the production of grain (including seed)","Harvested production in EU standard humidity (1000 t)","5 480.50",""
"2016","United Kingdom","Cereals for the production of grain (including seed)","Harvested production in EU standard humidity (1000 t)","21 710.58",""
"2016","Iceland","Cereals for the production of grain (including seed)","Harvested production in EU standard humidity (1000 t)","6.00",""
"2016","Norway","Cereals for the production of grain (including seed)","Harvested production in EU standard humidity (1000 t)","1 310.58",""
"2016","Switzerland","Cereals for the production of grain (including seed)","Harvested production in EU standard humidity (1000 t)","752.06",""
"2016","Montenegro","Cereals for the production of grain (including seed)","Harvested production in EU standard humidity (1000 t)","7.69","p"
"2016","North Macedonia","Cereals for the production of grain (including seed)","Harvested production in EU standard humidity (1000 t)","640.91",""
"2016","Albania","Cereals for the production of grain (including seed)","Harvested production in EU standard humidity (1000 t)","698.40",""
"2016","Serbia","Cereals for the production of grain (including seed)","Harvested production in EU standard humidity (1000 t)","10 868.00",""
"2016","Turkey","Cereals for the production of grain (including seed)","Harvested production in EU standard humidity (1000 t)","35 724.93",""
"2016","Bosnia and Herzegovina","Cereals for the production of grain (including seed)","Harvested production in EU standard humidity (1000 t)","1 677.52","e"
"2016","Kosovo (under United Nations Security Council Resolution 1244/99)","Cereals for the production of grain (including seed)","Harvested production in EU standard humidity (1000 t)","562.90",""
"2017","European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)","Cereals for the production of grain (including seed)","Harvested production in EU standard humidity (1000 t)","309 984.25",""
