TIME,GEO,"Double bed frame, pressboard (1 piece)",Sofa set (1 set),Kitchen table (1 piece) ,Pocket spring mattress (1 piece) ,Wardrobe (1 piece) ,Armchair (1 piece) 
2014,Sweden,600.2658345,1297.662583,182.618984,334.8604354,254.550537,217.0213039
2014,United Kingdom,634.3964731,1371.446647,193.0025544,353.9003338,269.0240784,229.3609629
2014,Iceland,637.6470102,1378.473701,193.9914659,355.7136575,270.4025109,230.5361685
2014,Norway,574.8032946,1242.617329,174.8725109,320.6560668,243.7528157,207.8155266
2014,Switzerland,506.0002612,1093.878026,153.9405515,282.2740493,214.5759942,182.940341
2014,Montenegro,353.7667779,764.7776778,107.6265312,197.3500581,150.0194049,127.9015446
2014,North Macedonia,329.9295065,713.2459507,100.3745138,184.0523512,139.9108999,119.2833701
2014,Albania,291.4648186,630.0924819,88.67239478,162.594688,123.5994485,105.3767703
2014,Serbia,349.9744848,756.5794485,106.4728012,195.2345138,148.4112337,126.5304714
2014,Turkey,204.48,1 360.55,112.0766328,126.2,156.2223512,133.1899699
2014,Bosnia and Herzegovina,310.9680406,672.2548041,94.60586357,173.4746299,131.8700435,112.428004
2014,Kosovo (under United Nations Security Council Resolution 1244/99),341.3063861,737.8406386,103.8357039,190.398984,144.7354136,123.3965898
2015,European Union - 27 countries (from 2020),523.8973638,1132.568218,159.3853903,292.2580118,222.1654934,191.857567
2015,European Union - 28 countries (2013-2020),549.7349043,1188.424153,167.2459499,306.6715758,233.1222386,201.3195876
2015,European Union - 15 countries (1995-2004),568.425891,1228.830574,172.9323122,317.0984094,241.0483947,208.1644536
2015,Euro area - 19 countries  (from 2015),537.6407364,1162.278822,163.566539,299.9248012,227.9935493,196.8905567
2015,Euro area - 12 countries (2001-2006),540.3894109,1168.220943,164.4027688,301.4581591,229.1591605,197.8971546
2015,Belgium,599.2110457,1295.382327,182.2980854,334.2720177,254.1032401,219.4383505
2015,Bulgaria,274.3177172,593.0236524,83.45572901,153.0291163,116.3279971,100.4584742
2015,Czechia,373.27,806.94,113.56,208.23,158.29,136.696
2015,Denmark,576.6719146,1246.656937,175.4410015,321.6984831,244.5452283,211.1842474
2015,Germany (until 1990 former territory of the FRG),505.7561119,1093.350221,153.8662739,282.1378498,214.4724595,185.2140206
2015,Estonia,483.2169809,1044.624831,147.00919,269.5643152,204.9144477,176.9599175
2015,Ireland,512.9026657,1108.799735,156.0404713,286.1245803,217.5030486,187.8311753
2015,Greece,521.1486892,1126.626097,158.5491605,290.7246539,220.9998822,190.8509691
2015,Spain,551.9338439,1193.17785,167.9149337,307.8982622,234.0547275,202.124866
2015,France,507.4053166,1096.915493,154.3680118,283.0578645,215.1718262,185.8179794
2015,Croatia,267.12,880.6222975,188.36,116.01,270,149.1778144
2015,Italy,608.0068041,1314.397113,184.9740206,339.1787629,257.8331959,222.6594639
2015,Cyprus,199.75,575.65,143.9,329.65,156.67,195.28
2015,Latvia,442.5365979,956.6814433,134.6329897,246.8706186,187.6634021,162.062268
2015,Lithuania,228.77,827.28,89.66,184.91,151.2,150.06
2015,Luxembourg,640.4411635,1384.514138,194.8415317,357.2723859,271.587408,234.5373196
2015,Hungary,327.092268,707.1123711,99.51134021,182.4695876,138.707732,119.7851546
2015,Malta,365.58,1 058.89,269.79,160.33,302.89,185.97
2015,Netherlands,390.04,1 508.44,185.6430044,340.4054492,430.08,370.38
2015,Austria,571.7243004,1235.961119,173.9357879,318.9384389,242.4471281,209.3723711
2015,Poland,351.8303387,524.38,76.29,196.2698085,149.1982327,127.31
2015,Portugal,504.1069072,1089.784948,153.3645361,281.2178351,213.7730928,184.6100619
2015,Romania,376.5684094,607.85,62.29,210.0700295,152.78,126.46
2015,Slovenia,410.98,890.1296907,233.7,231.22,174.6085567,150.7883711
2015,Slovakia,287.46,783.49,114.94,213.33,145.77,167.95
2015,Finland,556.3317231,1202.685243,169.2529013,310.3516348,235.9197054,203.7354227
2015,Sweden,578.8708542,1251.410633,176.1099853,322.9251694,245.4777172,211.9895258
2015,United Kingdom,696.5141237,1505.733402,211.9006186,388.5528866,295.3658763,255.0719175
2015,Iceland,656.3834757,1418.978439,199.6916642,366.1658616,278.3479529,240.3755876
2015,Norway,577.7713844,1249.033785,175.7754934,322.3118262,245.0114728,211.5868866
